a;b;c;t
300.63; 244.38; 1648.61; 1958.03
384.26; 226.21; 1299.65; 1542.96
74.50; 140.66; -69.41; 1177.41
335.09; 125.26; 364.04; 1027.69
319.43; 238.49; 2730.31; 1593.09
62.83; 53.15; 95.59; -1387.54
16.81; 126.59; 743.14; 1089.74
114.82; 231.83; 2274.55; 1768.28
3.38; 205.75; 867.46; 1693.29
196.52; 184.78; 2925.43; 1453.73
376.88; 224.93; 108.52; 1958.10
347.20; 203.16; 493.69; 1691.23
195.80; 59.50; 1029.47; 487.98
141.30; 130.09; -37.32; 1118.42
227.02; 91.92; 1459.63; 749.26
144.08; 198.68; 297.14; 1631.36
253.59; 84.76; 2735.74; 741.31
30.99; 110.22; 1929.46; 751.51
50.70; 57.70; 1384.08; 379.63
228.50; 161.87; 520.47; 1068.51
60.53; 236.29; 620.48; 1703.56
354.95; 229.51; 2608.18; 1697.47
124.09; 220.89; 2176.60; 2029.62
175.17; 63.46; -271.82; 546.40
249.55; 103.60; 2494.91; 718.74
336.45; 174.36; 2579.94; 1454.48
94.36; 132.62; 2266.35; 921.90
153.95; 217.45; 56.95; 1755.14
168.29; 233.71; -329.90; 1597.76
149.14; 75.21; 966.75; 590.31
232.51; 118.22; 1111.83; 1020.87
158.70; 224.42; 2781.28; 1813.52
342.30; 126.40; 1403.63; 944.70
337.16; 177.91; -3.97; 1586.33
190.52; 215.23; 1071.63; 1653.00
111.59; 70.92; 2468.50; 603.73
304.56; 205.88; -410.70; 1399.78
58.23; 115.58; 928.77; 897.09
6.76; 127.55; -147.24; 1107.71
253.93; 97.38; 716.67; 663.75
41.89; 194.07; 1841.97; 1491.01
335.13; 176.65; 399.97; 3798.01
303.31; 210.32; -435.67; 1673.11
240.91; 226.19; 2314.71; 2155.66
68.04; 227.27; 539.02; 1832.00
82.20; 138.95; 1981.43; 859.98
175.61; 68.56; -397.44; 595.60
356.09; 57.83; 2893.10; 432.14
242.55; 186.27; 2134.21; 1706.02
35.55; 182.48; 1874.97; 1463.15
285.15; 229.58; 51.73; -540.98
144.30; 232.11; 637.35; 1623.02
241.73; 185.43; 507.31; 1551.37
67.21; 128.24; 2881.41; 939.34
106.72; 124.23; -77.02; 1145.69
224.74; 49.37; 2018.44; 476.62
70.09; 175.53; 1339.04; -2014.76
266.42; 240.18; -464.60; 2037.59
318.28; 57.14; 1831.44; 467.75
170.07; 51.02; 1345.34; 412.88
374.71; 220.45; 2289.18; 1679.92
230.42; 239.85; 2249.93; 1953.68
318.63; 226.53; 1295.67; 1634.53
378.88; 160.73; 446.98; 1089.43
308.32; 134.32; 1068.71; 947.82
380.13; 203.25; 277.91; 1605.69
385.08; 112.53; 2139.24; 885.19
161.12; 79.79; 1767.00; 647.06
229.71; 159.31; 1117.47; 1383.33
363.55; 67.30; 300.54; 490.23
16.25; 113.51; 234.16; 1062.05
176.96; 133.82; -139.37; 1022.76
59.57; 185.66; 1764.35; 1667.91
382.14; 91.90; 2559.27; 790.45
250.26; 111.33; 2520.96; 745.30
8.90; 135.28; 2306.42; 1047.91
131.85; 70.52; -319.05; 611.84
321.58; 154.76; 1638.69; -2296.48
290.13; 131.93; 947.07; 979.90
298.88; 85.62; 1787.56; 663.91
98.82; 191.79; -266.21; 1568.47
332.85; 152.73; 2364.61; 1173.37
341.18; 55.69; 2467.54; 399.34
