a;b;c;d;e;t
-699275449.68; 73991.68; 4782.16; 415.85; -8877; -4
-25968.63; 1139.85; -1156.36; 206.67; 1573; 0
-85894824.78; 9598.98; -646.01; 853.02; -9594; 0
-33082944.90; 7047.13; 3492.19; 439.14; -3139; -1
200145560.05; 112020.34; 5920.48; 746.00; 1697; 0
-541094118.00; 89407.70; -2735.57; 795.19; -6243; 1
15053693.46; 33113.88; -1488.48; 202.74; 476; 0
-18742836.19; 936.27; 2568.37; 954.10; -5348; -1
-205571806.71; 48222.46; 5946.66; 524.90; -3795; -2
-110247508.79; 49937.46; 3091.64; 124.30; -2079; 0
886869442.66; 104563.68; 5456.10; 319.91; 8061; 4
-248919666.27; 35391.36; -2404.39; 955.92; -7546; 1
-515055458.02; 113706.33; -953.39; 371.21; -4568; 0
197850659.97; 31597.76; 5473.75; 79.28; 5337; 2
-857997361.67; 105649.87; -1926.78; 649.40; -8272; 1
613581413.83; 81891.63; 6865.99; 68.30; 6913; 4
818411511.47; 78474.04; 5319.50; 239.35; 9767; 5
-461259458.19; 111532.90; -1315.59; 233.25; -4185; 0
185121972.12; 96756.28; 1295.61; 434.50; 1888; 0
182084645.54; 110527.14; -1494.41; 99.80; 1670; 0
-237881968.27; 76613.37; 4079.29; 652.63; -2948; -1
-321876878.31; 37960.41; 4330.60; 937.79; -7611; -3
7681868.31; 52856.42; -1983.12; 801.32; 151; 0
229517673.07; 52990.11; -2953.55; 537.85; 4587; -1
318762898.55; 115463.66; 2334.90; 178.98; 2706; 0
63966255.92; 25250.21; 4752.72; 559.05; 2132; 1
58802323.94; 6325.29; 4525.85; 415.88; 5419; 2
197372802.22; 26723.41; 4130.55; 819.04; 6397; 2
184127005.66; 28746.41; -1330.24; 125.34; 6716; 0
210545052.42; 36509.79; -1897.75; 921.48; 6083; -1
-415959771.42; 88352.81; 1158.65; 427.16; -4647; 0
648835454.84; 75346.73; 780.86; 159.14; 8523; 0
-117760518.10; 108255.23; 6521.10; 146.73; -1026; 0
-28337771.10; 6250.83; -2712.15; 662.35; -8008; 2
225198046.52; 26118.58; 2048.78; 94.36; 7995; 1
-315713396.43; 73090.32; 195.06; 750.93; -4308; 0
-172604190.90; 22216.37; -1243.81; 562.80; -8230; 1
646099601.86; 64336.44; 893.20; 857.92; 9905; 0
121328778.64; 26555.00; 2033.31; 985.37; 4244; 0
555714556.43; 57094.39; 6365.07; 568.71; 8757; 5
314618367.46; 112736.83; 6301.53; 269.47; 2643; 1
-105260142.67; 19258.98; -1574.14; 432.38; -5952; 0
-453050848.91; 113297.14; -1653.26; 496.62; -4058; 0
-77152675.52; 10813.43; -79.89; 459.66; -7188; 0
-736349812.76; 83757.03; -881.42; 123.26; -8885; 0
-20891311.67; 242.87; -2417.69; 665.37; 9606; -2
-370881395.61; 113602.29; 374.78; 408.12; -3254; 0
-494456522.66; 68252.24; 6057.42; 713.95; -6654; -4
-152333606.80; 42073.62; -2852.81; 528.70; -3884; 1
-960154771.13; 95763.50; 919.09; 996.06; -9931; 0
170503974.66; 33408.67; 4122.47; 496.48; 4543; 1
-804665651.05; 106897.73; 908.50; 822.15; -7464; 0
161373082.54; 28618.68; -752.50; 20.61; 5791; 0
-173900973.18; 55099.43; 3335.04; 253.58; -2976; 0
-719627155.63; 76154.32; 2838.78; 560.72; -9110; -2
64548381.13; 36572.39; 1441.97; 25.30; 1698; 0
-4610887.47; 2706.22; 1615.14; 281.14; -1067; 0
-280748515.03; 54784.23; 4507.96; 227.79; -4735; -2
569282625.25; 60948.94; 5154.48; 370.97; 8612; 4
545807346.55; 85554.51; 2493.14; 995.93; 6199; 1
269879862.83; 62198.75; -2923.58; 28.03; 4553; -1
32206164.11; 45321.11; 885.73; 903.76; 697; 0
-861297464.98; 97859.40; 260.61; 246.98; -8778; 0
-312815693.93; 33902.88; -55.69; 114.75; -9242; 0
29285881.77; 3024.26; 3447.75; 660.82; 4525; 1
-87513456.89; 41818.44; 2831.28; 65.23; -1960; 0
314749150.30; 97517.19; 3073.79; 865.36; 3129; 0
-70003600.44; 62213.83; -914.70; 578.14; -1142; 0
-54895813.44; 42752.69; 1411.28; 193.00; -1243; 0
-173926267.53; 43541.87; 6798.58; 390.37; -3455; -2
-117694082.01; 17765.71; 603.90; 882.09; -6407; 0
-860531232.97; 109659.24; 1262.55; 846.60; -7758; 0
92357002.69; 84885.14; -617.80; 625.32; 1096; 0
46236068.87; 18855.46; 620.56; 440.32; 2374; 0
-5645836.82; 68258.88; -1046.54; 786.30; -84; 0
-173595695.76; 70596.38; -1954.34; 427.85; -2529; 0
96097138.41; 58126.88; 3120.50; 620.62; 1569; 0
-612119915.94; 117774.30; -1313.13; 259.18; -5256; 0
689555111.47; 116049.11; 5715.88; 239.26; 5663; 3
602162058.10; 88750.80; 5988.36; 440.01; 6356; 3
-120291824.80; 7639.39; 5092.60; 708.00; -9448; -4
710027412.83; 82341.53; 2865.16; 653.20; 8333; 2
297695646.58; 47439.72; -2382.10; 333.96; 6607; -1
258527811.98; 39516.65; -1425.03; 138.42; 6787; 0
-16581227.56; 18954.55; -1682.44; 7.33; -960; 0
244268549.23; 57118.65; -1565.19; 6.11; 4397; 0
-40328563.05; 7138.69; 80.89; 790.91; -5586; 0
11361813.46; 200.52; 3466.94; 820.74; 3098; 1
-11266505.43; 14303.37; -2664.42; 848.43; -968; 0
451428165.57; 100283.89; 6185.02; 755.27; 4240; 2
-156840535.32; 90359.34; 3952.46; 579.83; -1663; 0
-199708851.63; 31575.74; 2198.80; 828.14; -5913; -1
-239437942.56; 88573.90; 5581.80; 298.89; -2543; -1
-332886962.55; 54563.90; 2020.66; 621.21; -5883; -1
-407438832.67; 92431.32; 5534.26; 225.08; -4159; -2
345777391.55; 80477.28; -1837.90; 452.38; 4397; 0
271871339.53; 32020.69; -1846.29; 966.37; 9010; -1
330502466.08; 55889.14; 6328.95; 510.65; 5312; 3
-882668483.84; 111225.80; 6746.46; 432.04; -7482; -5
452749046.23; 50176.89; 3050.13; 399.04; 8506; 2
-114185784.08; 13094.19; 3572.84; 884.87; -6851; -2
-411951389.61; 40818.52; 4505.65; 378.02; -9089; -4
-19385132.58; 90348.71; 2849.04; 453.23; -208; 0
17696657.33; 10538.62; 4370.10; 198.58; 1187; 0
-96763218.19; 44811.29; 4407.03; 921.19; -1966; 0
387510927.93; 38999.90; 4811.40; 393.19; 8845; 4
