a;b;c
-2016.56; -2238.22; -2228.02
-6987.60; -6835.68; -6830.58
2320.49; 2928.37; 2933.47
5770.82; 5665.36; 5680.67
8.02; 64.71; 71.47
-2163.29; -2089.36; -2139.39
-6516.22; -6900.72; -6925.73
1952.54; 2183.57; 2158.55
5446.03; 5720.52; 5645.48
-170.41; 12.97; -118.31
-2211.63; -2504.70; -2195.63
-6625.11; -6364.28; -6209.75
2513.41; 2720.59; 2875.12
5712.12; 5431.65; 5895.24
398.35; 408.12; 452.87
-2423.68; -1991.97; -1821.65
-6103.17; -6849.07; -6763.91
2603.03; 2377.00; 2462.16
5850.70; 5379.43; 5634.91
267.95; 218.01; 218.86
-3154.95; -3301.58; -4401.74
-7059.07; -7157.97; -7708.05
366.97; 1293.92; 743.84
4982.44; 4360.17; 2709.93
-1631.51; -1169.14; -1730.87
-3897.04; -3802.57; -4762.22
-6595.96; -6624.70; -7104.52
834.11; 1778.32; 1298.50
5072.50; 4096.96; 2657.50
-1496.05; -1006.65; -1387.94
-2080.43; -2450.72; -1943.46
-6012.73; -6393.67; -6140.04
3139.11; 3118.58; 3372.21
5490.30; 5745.64; 6506.53
669.56; 587.42; 741.98
-2396.92; -3023.33; -3333.72
-6552.38; -6411.18; -6566.37
1799.88; 2247.86; 2092.67
4864.10; 5020.08; 4554.50
-382.43; -287.58; -389.00
-2019.17; -2800.01; -2608.46
-6316.71; -6350.18; -6254.40
2931.28; 2773.65; 2869.43
5278.79; 5204.99; 5492.31
386.80; 213.91; 192.51
-2421.15; -2619.27; -2729.85
-6685.62; -6440.09; -6495.39
1890.48; 2261.44; 2206.15
5058.09; 5458.94; 5293.07
-261.26; -167.69; -147.44
-1531.49; -1469.90; -881.99
-6497.14; -6331.78; -6037.82
3815.55; 3278.26; 3572.21
5729.41; 6204.53; 7086.40
834.85; 500.01; 921.66
-1952.58; -1861.54; -1591.08
-6361.85; -6304.98; -6169.75
3342.63; 2273.80; 2409.03
6101.91; 5919.47; 6325.16
378.10; 211.88; 309.12
-2739.25; -2342.60; -2174.70
-6317.19; -6416.86; -6332.91
2811.53; 2875.14; 2959.09
5892.53; 5931.41; 6183.25
176.66; 104.45; 166.79
-2073.19; -2148.94; -1651.13
-6185.85; -5971.38; -5722.48
3488.28; 3187.06; 3435.96
5615.68; 6407.36; 7154.08
754.17; 433.45; 704.94
-2626.41; -2306.09; -2179.72
-6890.66; -6009.94; -5946.76
3027.80; 2305.07; 2368.26
5306.49; 5221.86; 5411.42
206.41; 172.71; 212.97
-2068.46; -2463.86; -2287.91
-6076.23; -6569.00; -6481.03
3150.29; 3163.44; 3251.41
5090.80; 5665.24; 5929.15
201.78; 135.54; 199.98
-2165.00; -1744.16; -1122.29
-6327.20; -5862.35; -5551.41
3770.14; 2783.00; 3093.93
6240.45; 5928.02; 6860.82
1028.65; 597.24; 942.21
-3650.17; -3907.04; -4891.56
-7373.24; -6693.43; -7185.69
1023.50; 1066.05; 573.79
5001.62; 4346.93; 2870.15
-1428.25; -1027.33; -1480.43
-4099.45; -4056.99; -5240.71
-6627.85; -6952.05; -7543.91
373.23; 1697.86; 1106.00
5309.26; 4056.49; 2280.90
-1729.65; -1131.46; -1678.81
-3585.40; -3594.47; -4760.20
-6764.07; -7535.76; -8118.62
582.08; 1455.72; 872.85
5019.05; 4592.31; 2843.71
-1822.87; -1081.22; -1751.14
-2723.95; -3507.35; -4166.02
-6601.24; -6885.09; -7214.42
1277.33; 1807.60; 1478.26
5017.32; 5220.81; 4232.81
-910.96; -730.07; -1086.03
-2600.84; -2615.88; -3119.14
-6918.51; -6868.36; -7119.99
1382.24; 2227.18; 1975.55
5695.18; 5367.76; 4612.87
-668.92; -518.94; -779.90
-1148.41; -1699.59; -709.40
-6334.37; -5953.07; -5457.97
4103.61; 3196.22; 3691.31
5946.74; 6006.18; 7491.46
1507.51; 968.13; 1531.66
-2380.36; -2054.17; -1546.27
-5804.17; -6111.03; -5857.08
3515.93; 2758.12; 3012.07
6160.73; 5938.70; 6700.55
772.23; 477.27; 810.50
-3582.34; -3261.31; -4146.50
-6551.87; -6750.75; -7193.34
1631.83; 1167.34; 724.75
4892.98; 4127.59; 2799.81
-1341.16; -833.25; -1237.73
-2075.20; -1873.86; -1588.84
-6398.52; -6029.77; -5887.26
2789.60; 3246.21; 3388.71
5760.80; 5978.65; 6406.17
335.45; 272.47; 522.87
-3432.63; -3637.76; -4511.43
-6830.35; -6521.60; -6958.44
1277.41; 1563.35; 1126.51
5321.08; 4994.49; 3683.99
-1239.06; -894.18; -1392.79
-2095.47; -2555.60; -2496.08
-6118.44; -5975.44; -5945.68
2682.08; 2700.49; 2730.25
5722.61; 5262.34; 5351.62
26.53; 44.94; 120.50
-3047.23; -3548.95; -4518.62
-6529.14; -7244.43; -7729.26
1066.23; 1872.92; 1388.09
4690.86; 4953.12; 3498.61
-1493.44; -888.17; -1387.76
-2958.21; -2753.01; -2878.89
-6803.59; -6861.50; -6924.43
2413.80; 2855.96; 2793.02
5340.37; 5740.97; 5552.16
-107.99; -125.93; -140.56
-2098.01; -1889.19; -1359.67
-6385.97; -6507.79; -6243.03
3753.91; 3237.09; 3501.85
6019.27; 6239.46; 7033.75
786.79; 596.54; 852.11
-2054.49; -2535.96; -2468.67
-6589.77; -6817.97; -6784.32
2432.89; 2480.55; 2514.20
5070.35; 5921.81; 6022.75
159.74; 64.22; 53.61
-3026.83; -2582.50; -3020.74
-6925.98; -6912.22; -7131.34
1985.92; 1931.10; 1711.98
5254.84; 4992.88; 4335.52
-700.83; -367.45; -664.51
-1579.61; -1393.43; -629.76
-5847.20; -6171.52; -5789.69
3800.34; 3714.35; 4096.19
5478.03; 6027.76; 7173.27
1221.84; 696.28; 1185.25
-2432.18; -2790.33; -3056.95
-6687.02; -6296.83; -6430.14
2439.75; 2101.58; 1968.27
5397.45; 5571.07; 5171.13
-493.02; -252.88; -372.36
-2425.58; -2293.84; -1866.66
-6043.23; -6586.42; -6372.83
2645.91; 3135.95; 3349.54
5261.88; 6095.47; 6736.23
692.72; 521.71; 642.64
-3210.97; -3239.50; -4240.38
-7030.58; -6542.18; -7042.62
1340.34; 1988.75; 1488.31
4623.54; 4238.74; 2737.41
-1436.51; -907.83; -1467.89
-2838.60; -3052.91; -3251.40
-6657.74; -6973.40; -7072.65
2536.70; 2144.58; 2045.33
5669.53; 5786.11; 5488.37
-225.44; -100.58; -210.35
